authorId,ecosystemTenure,changeAcitivity,reviewTenure,reviewActivity,appBlockTenure,appBlockActivity
380,0,2,1,2,0,2
381,33,11,34,11,17,11
382,109,35,110,35,109,35
384,0,3,1,3,0,3
385,226,8,228,8,228,8
386,733,264,740,264,737,264
387,0,2,0,2,0,2
388,688,35,695,35,687,35
389,68,8,70,8,70,8
390,0,6,0,6,0,6
391,0,2,0,2,0,2
393,3,9,4,9,4,9
394,22,4,84,4,84,4
395,0,3,1,3,0,3
396,52,6,52,6,51,6
397,7,7,14,7,10,7
398,554,154,554,154,553,154
399,0,5,7,5,0,5
400,540,226,540,226,539,226
401,67,75,77,75,72,75
402,0,4,1,4,1,4
403,651,189,657,189,656,189
404,6,48,7,48,2,48
405,0,2,2,2,0,2
406,533,17,543,17,543,17
407,228,4,251,4,251,4
408,0,2,8,2,0,2
409,0,2,0,2,0,2
410,0,2,3,2,0,2
411,97,29,106,29,105,29
412,656,88,914,88,881,88
414,318,69,322,69,291,69
415,273,50,275,50,259,50
416,0,6,51,6,0,6
417,177,26,177,26,175,26
418,5,7,8,7,6,7
419,55,5,56,5,50,5
420,3,9,3,9,3,9
421,187,40,199,40,193,40
422,298,44,308,44,304,44
423,591,21,591,21,591,21
424,192,143,192,143,190,143
425,1,6,1,6,1,6
427,335,10,337,10,337,10
428,132,6,136,6,131,6
429,65,4,75,4,62,4
430,128,22,131,22,130,22
431,507,10,508,10,508,10
432,0,1,0,1,0,1
433,61,17,65,17,63,17
434,0,2,3,2,0,2
435,58,10,60,10,59,10
436,34,6,35,6,34,6
437,0,2,9,2,0,2
438,422,93,422,93,413,93
439,20,9,20,9,20,9
440,0,3,3,3,0,3
441,365,9,366,9,362,9
443,604,57,689,57,687,57
445,355,7,356,7,354,7
446,0,2,2,2,0,2
447,106,19,110,19,96,19
448,0,3,115,3,0,3
449,158,43,160,43,151,43
450,220,101,220,101,220,101
451,28,7,29,7,19,7
452,0,2,0,2,0,2
453,0,5,1,5,0,5
454,24,10,27,10,16,10
456,0,3,11,3,0,3
457,366,7,367,7,367,7
461,426,16,429,16,400,16
462,65,328,73,328,80,328
463,0,2,0,2,0,2
464,49,15,49,15,45,15
465,411,26,434,26,413,26
466,4,11,6,11,6,11
467,211,11,211,11,208,11
468,37,30,38,30,38,30
469,2,4,4,4,4,4
471,335,21,335,21,335,21
472,351,5,353,5,353,5
473,0,4,0,4,0,4
474,11,18,12,18,12,18
475,0,4,85,4,0,4
476,0,2,0,2,0,2
477,301,15,302,15,302,15
478,0,16,2,16,0,16
479,6,7,9,7,9,7
480,501,16,501,16,500,16
481,22,37,25,37,25,37
482,553,72,554,72,552,72
483,0,4,5,4,0,4
484,441,69,441,69,440,69
485,0,6,0,6,0,6
486,25,33,68,33,67,33
487,0,4,0,4,0,4
488,259,42,259,42,256,42
489,353,17,467,17,466,17
492,59,15,59,15,21,15
493,11,14,11,14,11,14
494,216,67,216,67,215,67
495,38,19,46,19,33,19
496,0,2,1,2,0,2
497,209,43,222,43,217,43
498,192,24,203,24,201,24
499,91,13,92,13,87,13
500,316,82,316,82,313,82
501,185,174,185,174,185,174
502,0,2,3,2,0,2
503,41,98,41,98,41,98
504,5,5,5,5,5,5
505,6,8,6,8,4,8
506,0,3,2,3,0,3
507,0,6,1,6,0,6
508,0,4,8,4,0,4
509,30,98,31,98,30,98
510,19,16,20,16,20,16
511,304,18,307,18,307,18
512,70,16,73,16,73,16
513,34,10,37,10,37,10
514,4,10,4,10,4,10
515,86,90,87,90,87,90
516,122,11,126,11,125,11
517,15,51,17,51,11,51
518,116,12,116,12,115,12
519,161,13,162,13,133,13
520,0,3,0,3,0,3
522,0,3,3,3,0,3
523,0,4,6,4,0,4
524,0,3,18,3,0,3
525,48,19,63,19,62,19
526,116,41,117,41,115,41
527,0,3,0,3,0,3
528,279,42,293,42,290,42
529,91,25,109,25,109,25
530,7,11,9,11,7,11
531,9,9,24,9,23,9
533,162,37,165,37,165,37
534,74,74,74,74,73,74
535,0,4,8,4,0,4
536,16,7,16,7,16,7
537,147,7,148,7,146,7
538,0,3,1,3,0,3
539,0,4,1,4,0,4
540,68,40,72,40,68,40
541,0,3,0,3,0,3
544,42,46,47,46,45,46
545,7,15,9,15,9,15
546,234,21,239,21,238,21
549,81,15,85,15,77,15
550,95,5,97,5,94,5
551,0,3,2,3,0,3
552,1,15,20,15,7,15
554,29,9,31,9,28,9
557,10,3,10,3,11,3
558,11,18,13,18,7,18
562,0,6,1,6,1,6
576,0,1,0,1,0,1
578,2,6,3,6,2,6
584,0,2,2,2,0,2
585,0,1,0,1,0,1
590,0,1,-1,1,0,1
591,0,1,0,1,0,1
596,0,10,6,10,0,10
597,0,1,-1,1,0,1
609,17,4,20,4,6,4
612,0,1,0,1,0,1
614,0,2,0,2,0,2
615,0,15,0,15,0,15
617,0,2,1,2,0,2
618,98,11,99,11,98,11
619,0,2,0,2,0,2
621,73,7,73,7,73,7
622,32,76,35,76,35,76
624,0,1,0,1,0,1
625,0,1,0,1,0,1
626,0,1,0,1,0,1
627,28,9,37,9,34,9
629,0,1,0,1,0,1
632,0,3,4,3,0,3
634,0,2,0,2,0,2
